COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
106.0 , 4133.84615385 , 4131.28205128 , 4133.84615385 , 4135.8974359 , 4136.41025641 , 4129.74358974 , 4137.43589744 , 4138.46153846 , 4137.43589744 , 4140.0 , 4081.02564103 , 3401.02564103 , 4131.28205128 , 4131.79487179 , 2009.0 , 2117.0 , 3.313 , 0.0 , 0.0 , 0.0 , 0.0 , 

107.0 , 4134.87179487 , 4131.79487179 , 4134.87179487 , 4135.38461538 , 4137.94871795 , 4129.74358974 , 4138.97435897 , 4134.35897436 , 4135.38461538 , 4140.51282051 , 4083.58974359 , 3403.58974359 , 4133.33333333 , 4131.28205128 , 2008.0 , 2113.0 , 3.313 , 0.0 , 0.0 , 0.0 , 0.0 , 

108.0 , 4134.87179487 , 4130.76923077 , 4136.41025641 , 4133.84615385 , 4133.84615385 , 4135.38461538 , 4140.51282051 , 4132.82051282 , 4134.87179487 , 4142.05128205 , 4086.66666667 , 3404.61538462 , 4132.30769231 , 4130.25641026 , 2006.0 , 2109.0 , 3.328 , 0.0 , 0.0 , 0.0 , 0.0 , 

109.0 , 4133.84615385 , 4130.25641026 , 4141.53846154 , 4134.35897436 , 4132.82051282 , 4138.97435897 , 4131.28205128 , 4134.35897436 , 4136.41025641 , 4141.02564103 , 4086.66666667 , 3405.64102564 , 4132.30769231 , 4130.25641026 , 2006.0 , 2105.0 , 3.328 , 0.0 , 0.0 , 0.0 , 0.0 , 

110.0 , 4130.25641026 , 4132.30769231 , 4142.05128205 , 4135.38461538 , 4135.38461538 , 4141.53846154 , 4123.07692308 , 4134.87179487 , 4135.8974359 , 4141.53846154 , 4082.56410256 , 3405.64102564 , 4132.82051282 , 4130.25641026 , 2005.0 , 2104.0 , 3.344 , 0.0 , 0.0 , 0.0 , 0.0 , 

111.0 , 4129.23076923 , 4134.35897436 , 4144.61538462 , 4134.87179487 , 4134.87179487 , 4146.15384615 , 4116.41025641 , 4133.84615385 , 4134.35897436 , 4143.58974359 , 4081.02564103 , 3403.07692308 , 4130.76923077 , 4130.76923077 , 2006.0 , 2103.0 , 3.344 , 0.0 , 0.0 , 0.0 , 0.0 , 

112.0 , 4130.76923077 , 4132.30769231 , 4148.20512821 , 4134.87179487 , 4133.33333333 , 4145.64102564 , 4114.35897436 , 4135.8974359 , 4135.38461538 , 4140.0 , 4083.07692308 , 3405.12820513 , 4132.30769231 , 4129.74358974 , 2007.0 , 2103.0 , 3.359 , 0.0 , 0.0 , 0.0 , 0.0 , 

